病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
皮炎芽生菌,Blastomyces dermatitidis,5039,"吉尔克里斯特芽生菌，Blastomycoides dermatitidis, Ajellomyces dermatitidis",真菌,双相真菌（菌丝相和酵母相）,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Blastomyces,II,BSL-3,"小分生孢子呈椭圆形或梨形，直径2至10微米，不产生大分生孢子。酵母细胞以大出芽形式为特征，体积大，圆形，细胞壁厚，直径5至15微米。[1,2]",https://www.wikidata.org/wiki/Q3012311#/media/File:Blastomycosis_cropped.JPG,高含氮量和高有机物含量的潮湿的酸性土壤,"菌丝相：25℃下普通真菌培养基
酵母相：37℃需氧条件下营养丰富的培养基如BHI琼脂、BHIB琼脂、Pine培养基或Kelly琼脂",人、犬科动物、猫、马、老虎、雪豹、狮子、海狮等,间接接触：孢子吸入,芽生菌病常发生于户外职业者和旅游爱好者，多见于成人，男性发病多于女性。细胞介导的免疫缺陷患者易感。,无传染性,低致病性,芽生菌病（吉尔克里斯特病）,否,无,低。免疫功能较弱患者疾病程度及死亡率高于普通患者。,肺（UBERON: 0002048）、皮肤（UBERON: 0002097）,4~6周,临床表现可从轻度慢性咳嗽到急性呼吸窘迫综合征样症状[3]. 在未治疗的情况下，可由短暂的肺部感染转变为慢性肺部感染[4]。皮损可为结节性、疣状或溃疡性，通常炎症轻微，但可迅速发展为浅表溃疡，伴有肉芽肿性基底，通常位于面部周围和四肢远端[5]. 脓肿通常位于皮下，但可累及任何器官。当细胞免疫受损时，更可能发生严重的肺部和播散性疾病[6].,无季节规律,主要分布于北美和非洲。在美国中西部、东南部和中南部俄亥俄河和密西西比河沿岸流行。在五大湖、加拿大地盾的湖泊和圣劳伦斯海道附近的土壤中也很普遍。,"芽生菌病可能是流行性的或散发性的，在英国、美国、加拿大、中欧、非洲、西伯利亚、沙特阿拉伯、以色列和印度都有报道。流行地区的年发病率为每 100,000 人 0.62 例，每年每百万人中有3至6例需要住院治疗的芽生菌病病例。",GCF_000003525.1;,https://www.ncbi.nlm.nih.gov/assembly/GCF_000003525.1,36.5 ~ 38.2,61~75Mb,,,,"BAD1 (Blastomyces adhesin-1; formerly WI-1)；DPPIVA (dipeptidyl-peptidase)；Cysteine synthase；CDG (cysteine dioxygenase)；SSU1；PRA1, ZRT1, ZRT2；NIC1；DRK1；RYP1-4 (Required for yeast phase 1-4) [7]",,SLH14081(GenBank: ACBU01000000),ER-3(GenBank: ACBT01000000),"显微镜检查：取痰、脓液、骨髓、血、脑脊液、胸腔积液、尿、活检或尸体组织标本进行钙荧光白或KOH湿片镜检及革兰染色观察；
抗原检测：基于双抗体夹心酶联免疫法用酶标板条进行血液抗原和尿抗原检测；
核酸检测：针对核糖体基因、ITS区、重复序列及种特异性基因的PCR检测",无,,有,两性霉素B、氟康唑、伊曲康唑、泊沙康唑、伏立康唑、艾沙康唑、阿尼芬净、卡泊芬净,A抗原、WI-1抗原,"[1]  6490843
[2] DOI:10.1128/9781555816728.ch120
[3] 17495283
[4] 20088682
[5] 9786775
[6] 9313296
[7] 29532714"
波萨达斯球孢子菌,Coccidioides posadasii,199306,,真菌,双相真菌（分枝状菌丝和分节孢子）,cellular organisms;?Eukaryota;?Opisthokonta;?Fungi;?Dikarya;?Ascomycota;?saccharomyceta;?Pezizomycotina;?leotiomyceta;?Eurotiomycetes;?Eurotiomycetidae;?Onygenales;?Onygenaceae;?Coccidioides,II,无·,在土壤中，该菌为有隔膜的分枝状菌丝。土壤干燥时，菌丝可发育分节孢子，进而分裂成单个关节孢子在空气中传播,,"Soil in Nevada, Arizona, New Mexico, West Texas, Mexico, and Central and South America",,人类，几乎所有的哺乳动物和一些爬行动物,吸入性关节孢子虫，但可能发生通过污染物和器官移植的继发性传播,普遍易感,无,较高致病性,球孢子菌病,否,无,低,呼吸系统、皮肤、骨骼和中枢神经系统,1-3周,症状通常轻微，且常呈流感样，包括咳嗽、发热、寒战、胸痛，有时会出现呼吸困难。咳嗽可能会产生痰液。偶尔，当肺部感染严重时，肺部可能会形成空间，人们可能会咳出血液。,,主要发现于内华达州、亚利桑那州、新墨西哥州、西德克萨斯州、墨西哥以及中美洲和南美洲。,美国疾病预防控制中心数据显示，每年约万余人感染，1990年-2006年球孢子菌病年均死亡人数约200人，2011年报道病例历史最高有2.26万余人，2017年有1.43万余病例报道。[1]。,GCF_018416015.1,https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=12418021&linkname=assembly_nuccore_refseq,46.5,"	28.2 Mb",,,,,,,,血清学、组织病理学和培养方法,无,,有,对于免疫正常宿主急性肺部感染，由于一般为自限性病程，故无需抗真菌治疗，只需定期随访；而对于慢性肺部感染、播散性感染或免疫低下患者的感染，则首选唑类药物（氟康唑、伊曲康唑）治疗。,无,"[1] 吴吉芹, 朱利平. 球孢子菌病的流行病学,临床表现及诊治进展[J]. 微生物与感染, 2017, 12(1):6.                                                   "
巴西副球孢子菌,Paracoccidioides brasiliensis,121759,,真菌,双相真菌,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Paracoccidioides,II,BSL-3,,https://www.wikidata.org/wiki/Q310186,酸性土壤,在37℃培养为酵母样菌落，在温室培养则为丝球状菌落,人,呼吸道或破损皮肤进入人体,30~50岁男性咖啡工人为高危人群，也发生于包括艾滋病病人在内的免疫受损患者,无,中等致病性,副球孢子菌病、、南美芽生菌病,否,无,低,口腔、鼻黏膜、肺、大肠、小肠等,,发热、盗汗、不适、咳痰、消瘦和咯血等,,主要在南美洲（哥伦比亚、委内瑞拉、巴西等）流行,,"
GCF_000150735.1",https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000150735.1/,44.5,"	30 Mb",,,,,,,,1.直接显微镜；                                                          2.培养为基础，生化和免疫分析；                                                             3.DNA检测,无,,有,伊曲康唑(ITZ)、氟康唑均可选用。建议使用伊曲康唑6～12个月。必要时可用两性霉素B。, Ag7抗原、43-kDa糖蛋白（gp43）,[1] 29780375                               [2] 31113602 
“美洲”副球虫菌,Paracoccidioides sp. 'americana',2486200,"P. americana (PS2), Paracoccidioides americana",真菌,,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Paracoccidioides; unclassified Paracoccidioides,II,,,,,,,,,,,,,,,皮肤和粘膜、淋巴结和呼吸器官,,,,,,,,,,,,,,,,,1.直接显微镜；                                                          2.培养为基础，生化和免疫分析；                                                             3.DNA检测,无,,有,伊曲康唑(ITZ)、氟康唑均可选用。建议使用伊曲康唑6～12个月。必要时可用两性霉素B。,43-kDa糖蛋白（gp43）,"[1Paracoccidioidomycosis: Current Status and Future Trends.Clin Microbiol Rev
. 2022 Dec 21;35(4):e0023321."
委内瑞拉副球虫菌,Paracoccidioides venezuelensis,,,真菌,,,II,,,,,,,,,,,委内瑞拉副球虫病,,,,皮肤和粘膜、淋巴结和呼吸器官,,,,,,,,,,,,,,,,,1.直接显微镜；                                                          2.培养为基础，生化和免疫分析；                                                             3.DNA检测,无,,有,伊曲康唑(ITZ)、氟康唑均可选用。建议使用伊曲康唑6～12个月。必要时可用两性霉素B。,43-kDa糖蛋白（gp43）,"[1Paracoccidioidomycosis: Current Status and Future Trends.Clin Microbiol Rev
. 2022 Dec 21;35(4):e0023321."
卢氏副球菌,Paracoccidioides lutzii,1048829,,真菌,,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Paracoccidioides,II,,,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/35,,马铃薯葡萄糖琼脂（PDA）培养基，每15天进行一次传代培养,人,,,,,卢氏副球菌病,,,,皮肤和粘膜、淋巴结和呼吸器官,,,,巴西中部和北部地区,,GCF_000150705.2,https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=219741&linkname=assembly_nuccore_refseq,43,"	32.9 Mb",,,,,,,,1.直接显微镜；                                                          2.培养为基础，生化和免疫分析；                                                             3.DNA检测,无,,有,伊曲康唑(ITZ)、氟康唑均可选用。建议使用伊曲康唑6～12个月。必要时可用两性霉素B。,,"[1] Texeira et al. (2013)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [2] Paracoccidioidomycosis: Current Status and Future Trends.Clin Microbiol Rev
. 2022 Dec 21;35(4):e0023321."
溶组织内阿米巴,Entamoeba histolytica,5759,"痢疾阿米巴，Entamoeba histolytica Schaudinn, Amebic dysentery, invasive amebiasis",寄生虫,肠道寄生虫,cellular organisms; Eukaryota; Amoebozoa; Evosea; Archamoebae; Mastigamoebida; Entamoebidae; Entamoeba,生活周期分为包囊和滋养体两期。包囊大小约 10 至 15 μm，圆形，包含四个或更少的细胞核、糖原和核糖体组装体，称为染色体。滋养体直径约10 至 60 μm，具有单个细胞核和中央核小体，胞质内含宿主红细胞。,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/5082,兼性厌氧,囊肿可以在水和土壤中存活数天至数周，也可以在食物中存活。滋养体在人类宿主之外不能很好地生存。,人、非人灵长类动物,包囊,"间接接触：摄入被污染的水和食物、粪口传播
直接接触：性接触",与文化水平低、卫生状况差密切有关,低传染性,中致病性,阿米巴痢疾,否,中国法定乙类传染病,~ 0.02%,肠道 (UBERON: 0000160)、肝 (UBERON: 0002107)、肺 (UBERON: 0002048)、脑 (UBERON: 0000955),数天至数月不等,肝脓肿、结肠炎、脑脓肿、痉挛性腹泻、下腹痛、低热和脓血便,多发于夏秋季节,全球性分布，多见于热带和亚热带地区。在我国呈全国性分布，主要分布在广西、广东、云南等南方地区和黑龙江等东北地区。,"每年约有5亿人感染，导致5000万人患肝脓肿和结肠炎，每年导致约40,000-100,000人死亡 [1-2]",GCF_000208925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000208925.1/,23.5 ~ 27.0,19-27Mb,特异性半乳糖/乙酰氨基半乳糖结合凝集素,黏附素、阿米巴穿孔素、可溶解宿主组织的蛋白酶、细胞凋亡蛋白酶-3,"显微镜检查：粪便、脓液样本染色涂片检查
抗原检测：粪便、血清、脓液检测
核酸检测：PCR、实时荧光PCR
血清学检测：间接血凝试验、补体结合实验、乳胶凝集试验、酶免法（EIA）",无,,有,"甲硝唑( metronidazole)为目前治疗阿米巴性痢疾的首选药物。另外替硝唑( tinidazole)、奥硝唑( ornidazole)和塞克硝唑( secnidazole)似有相同作用。对于带包囊者的治疗应选择肠道不吸收的、低副作用的药物,例如巴龙霉素( paromomycin, hematin)或喹碘方(iodoquinofonum)、氯尼特( diloxanide)等。有资料提出甲硝唑或替硝唑等主要用于组织感染但无根治肠腔病原体的作用，故不应用于治疗无症状带包囊者。","[1] 12660071
[2] 18725798",,,,,,,
食蟹猴疟原虫,Plasmodium cynomolgi,5827,猴疟原虫、黑猩猩疟原虫,寄生虫,,cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Plasmodium),,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/4223,,,猴子，人,,蚊媒,,低传染性,中致病性,疟疾,是,中国法定乙类传染病,,血液或体液,16 ~ 37天,"headaches, reduced appetite, muscle discomfort, and nausea",雨季,东南亚（菲律宾、印度尼西亚、柬埔寨、新加坡和老挝）,全球大约0-1.4%的人感染了P. cynomolgi,GCA_000321355.1 ,https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=508368&linkname=assembly_nuccore_refseq,40.5,"	26.2 Mb",Duffy binding蛋白（dbp）和网织红细胞结合蛋白（rbp）,,PCR分子检测,,,有,口服氯喹，青蒿琥酯加甲氟喹，阿托伐醌加普罗胍或氯喹加伯氨喹,"[1] 24564912,                                                                                                                                                                                                                                                   [2] 32687020                                                                     [3] Microorganisms. 2024 Aug 7;12(8):1607. ",,,,,,,
猪尾猴疟原虫,Plasmodium inui,52288,猪尾猴疟原虫,寄生虫,,cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Plasmodium),,,,,猴子，人,蚊媒,,,低传染性,中致病性,疟疾,是,中国法定乙类传染病,,血液或体液,16 ~ 37天,"headaches, reduced appetite, muscle discomfort, and nausea",雨季,在泰国的人类感染分布广泛,,GCA_000524495.1 ,https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=97071&linkname=assembly_nuccore_refseq,42,"	27.4 Mb",,,物种特异性巣式PCR,无,,有,口服氯喹，青蒿琥酯加甲氟喹，阿托伐醌加普罗胍或氯喹加伯氨喹,[1] 34971372                                                          [2] 6834780                                       ,,,,,,,
杜氏利什曼原虫,Leishmania donovani,5661,,寄生虫,,cellular organisms; Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania; Leishmania; Leishmania donovani species complex,虫体卵圆形，大小为(2.9~5.7)μm×(1.8~4.0)μm，瑞氏染液染色后，细胞质呈淡蓝或深蓝色，内有一个较大的红色或淡紫色圆形核。动基体位于核旁，着色较深，细小杆状，虫体前端从颗粒状基体发出一条根丝体 。,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/5071,,在宿主或培养物外不能存活，但在4°C的全血中存活35天,人类、温血哺乳动物，包括狗、猫和小型啮齿动物,,通过被感染的雌性双翅目白蛉叮咬，实验室、输血、先天性和性传播都是可能的，也有报道称通过家养或野生哺乳动物传播,最贫困群体，而且与营养不良、人口流离失所、住房条件不佳、免疫系统薄弱和缺乏资金有关,低传染性,低致病性,内脏利什曼病或黑热病,是,中国法定丙类传染病,95%,脾、肝、淋巴结,可短于10天或长于1年，但通常为2~4个月,长期不规则发热，脾(95%以上)、肝、淋巴结肿大和全血细胞贫血。,,主要流行于印度及地中海沿岸国家,据估计，全世界每年有5万至9万内脏利什曼病新发病例,GCA_000227135.2 ,https://www.ncbi.nlm.nih.gov/nuccore/?from_uid=405068&linkname=assembly_nuccore_refseq,59.5,32.4 Mb,,,1.骨髓穿刺涂片加上姬氏或瑞氏染色法                           2.皮肤活组织染色镜检                                      3.单克隆抗体-抗原斑点试验,无,,有,葡萄糖酸锑钠，肌内或静脉注射,[1] 33139372                                                                                                                                                                                                                                                                                                                                  [2] 32760679?,,,,,,,
